City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Solnechnyy,RU,2021-04-25 20:36:23,50.7214,136.6319,32.56,52,16,2.53
149,Zeya,RU,2021-04-25 20:39:33,53.75,127.2667,38.01,68,100,4.03
150,Saulkrasti,LV,2021-04-25 20:39:33,57.2622,24.4147,35.6,93,90,2.3
151,Kodinsk,RU,2021-04-25 20:39:34,58.6881,99.1844,33.69,97,100,7.11
152,Bosaso,SO,2021-04-25 20:39:34,11.2842,49.1816,85.42,64,76,3.29
153,Ulundi,ZA,2021-04-25 20:39:35,-28.3352,31.4162,59.38,93,0,3.8
154,Avera,US,2021-04-25 20:39:35,33.194,-82.5271,75.2,50,40,8.05
155,Kamaishi,JP,2021-04-25 20:39:35,39.2667,141.8833,41.05,59,7,8.01
156,Bizhbulyak,RU,2021-04-25 20:39:36,53.6967,54.2642,38.55,67,3,13.76
157,Praia,CV,2021-04-25 20:39:36,14.9215,-23.5087,71.6,68,40,17.27
158,Avarua,CK,2021-04-25 20:34:09,-21.2078,-159.775,82.4,78,40,10.36
159,Alta,NO,2021-04-25 20:39:37,69.9689,23.2717,33.8,69,90,3.44
160,Luderitz,NA,2021-04-25 20:36:05,-26.6481,15.1594,61.93,90,93,3.18
161,Sao Paulo De Olivenca,BR,2021-04-25 20:39:38,-3.3783,-68.8725,77.92,87,97,2.75
162,Alexandria,EG,2021-04-25 20:39:38,31.2156,29.9553,66.2,72,40,13.8
163,Tambongon,PH,2021-04-25 20:39:39,10.9677,123.9244,78.21,82,27,4.7
164,Sosnovo-Ozerskoye,RU,2021-04-25 20:39:39,52.5249,111.5418,33.71,98,100,12.71
165,Kropotkin,RU,2021-04-25 20:35:28,45.4375,40.5756,48.0,82,100,12.59
166,Hervey Bay,AU,2021-04-25 20:39:40,-25.2986,152.8535,60.01,89,3,4.0
167,Chapais,CA,2021-04-25 20:32:44,49.7834,-74.8492,42.8,93,90,9.22
168,Ratne,UA,2021-04-25 20:39:40,51.6683,24.5303,33.94,79,90,5.95
169,Dongsheng,CN,2021-04-25 20:39:41,39.8161,109.9776,42.6,87,0,9.31
170,Constitucion,CL,2021-04-25 20:39:41,-35.3333,-72.4167,63.52,66,3,13.73
171,Portland,US,2021-04-25 20:37:24,45.5234,-122.6762,57.99,51,90,5.75
