City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
233,Egvekinot,RU,66.3167,-179.1667,27.54,84,15,0.92,few clouds
234,Salinopolis,BR,-0.6136,-47.3561,79.5,84,54,8.28,broken clouds
235,Bonfim,BR,3.0833,-59.95,89.6,66,20,13.8,few clouds
236,Uspenskaya,RU,45.7645,41.067,44.71,94,100,13.76,moderate rain
237,Gorontalo,ID,0.5412,123.0595,74.79,90,92,2.17,overcast clouds
238,Maniwaki,CA,46.3834,-75.966,39.2,70,93,16.11,overcast clouds
239,San Cristobal,VE,7.7669,-72.225,87.8,58,40,11.5,scattered clouds
240,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,73,0,9.22,clear sky
241,Milagro,ES,42.2386,-1.764,57.2,77,100,4.61,overcast clouds
242,Alice Springs,AU,-23.7,133.8833,46.4,71,0,4.61,clear sky
243,San Luis,AR,-33.295,-66.3356,62.8,56,17,1.63,few clouds
244,Padang,ID,-0.9492,100.3543,77.41,85,83,3.56,broken clouds
245,Faya,SA,18.3851,42.4509,62.6,63,40,9.89,scattered clouds
246,Maniitsoq,GL,65.4167,-52.9,40.39,81,100,10.07,overcast clouds
247,Sainte-Suzanne,RE,-20.9061,55.6089,75.2,83,20,17.27,few clouds
248,Gibgos,PH,13.859,123.7675,75.92,84,68,8.59,broken clouds
249,Ilulissat,GL,69.2167,-51.1,50.0,43,20,20.71,few clouds
250,Meulaboh,ID,4.1363,96.1285,76.39,86,82,3.56,broken clouds
251,Mackay,AU,-21.15,149.2,71.6,78,90,10.36,overcast clouds
252,Dombasle-Sur-Meurthe,FR,48.6252,6.3497,60.8,49,0,10.36,clear sky
253,Mehamn,NO,71.0357,27.8492,32.0,69,75,10.36,light snow
254,Norman Wells,CA,65.282,-126.8329,37.4,41,20,17.27,few clouds
255,Barahona,DO,18.2085,-71.1008,80.6,78,20,18.41,few clouds
256,Nyurba,RU,63.2842,118.3319,32.43,97,100,5.44,overcast clouds
257,Gravdal,NO,68.1214,13.5031,36.57,62,97,6.67,overcast clouds
258,Asmara,ER,15.3333,38.9333,63.27,52,84,1.88,broken clouds
259,Pandhana,IN,21.7,76.2167,84.78,14,61,5.57,broken clouds
260,Poronaysk,RU,49.2167,143.1167,32.67,60,71,2.64,broken clouds
261,Leh,IN,34.1667,77.5833,31.01,36,5,2.21,clear sky
262,Hasaki,JP,35.7333,140.8333,50.0,43,20,14.97,few clouds
263,Kattivakkam,IN,13.2167,80.3167,82.4,78,40,3.44,scattered clouds
264,Imeni Zhelyabova,RU,58.9544,36.5956,32.94,99,100,9.8,snow
265,Douentza,ML,14.9951,-2.9517,90.81,12,64,0.72,broken clouds
266,Burns Lake,CA,54.2331,-125.7533,51.8,19,11,5.75,few clouds
267,Matara,LK,5.9485,80.5353,77.22,89,20,3.62,few clouds
268,Alofi,NU,-19.0595,-169.9187,82.4,83,45,4.61,scattered clouds
269,Nhulunbuy,AU,-12.2333,136.7667,77.0,94,75,8.46,moderate rain
270,Marsa Matruh,EG,31.3525,27.2453,64.4,82,40,16.11,scattered clouds
271,Mount Isa,AU,-20.7333,139.5,73.4,56,4,10.36,clear sky
272,Kidal,ML,18.4411,1.4078,91.35,5,1,6.04,clear sky
273,Buala,SB,-8.145,159.5921,83.35,76,21,1.36,few clouds
274,Peyima,SL,8.7,-11.0333,70.77,91,100,2.59,overcast clouds
275,Kudahuvadhoo,MV,2.6708,72.8944,82.62,69,11,5.84,few clouds
276,Mayo,US,38.8876,-76.5119,64.99,45,20,9.22,few clouds
277,Fengxian,CN,34.7039,116.5872,54.25,96,100,1.59,overcast clouds
278,Quimper,FR,48.0,-4.1,48.2,76,0,16.11,clear sky
279,Leiyang,CN,26.4024,112.8591,59.41,97,100,2.57,overcast clouds
280,Opuwo,NA,-18.0607,13.84,67.21,48,25,3.29,scattered clouds
281,Wenzhou,CN,27.9994,120.6668,63.97,79,71,1.45,broken clouds
282,Lompoc,US,34.6391,-120.4579,57.2,77,100,10.36,overcast clouds
283,Saint-Augustin,CA,51.226,-58.6502,46.35,51,79,2.24,broken clouds
284,Luanda,AO,-8.8368,13.2343,80.6,94,75,3.44,light rain
285,Mizan Teferi,ET,6.9833,35.5833,61.65,95,100,1.63,light rain
286,Rezh,RU,57.37,61.4043,37.96,74,9,7.99,clear sky
287,Alyangula,AU,-13.8483,136.4192,75.2,100,40,10.0,light rain
288,San Quintin,MX,30.4833,-115.95,63.73,62,55,17.27,broken clouds
289,Bud,US,39.447,-86.1758,59.0,41,1,9.22,clear sky
290,Pegnitz,DE,49.7564,11.545,39.99,60,1,3.44,clear sky
291,Valdosta,US,30.8327,-83.2785,78.8,47,1,3.44,clear sky
292,Khorixas,NA,-20.3667,14.9667,66.72,55,21,3.31,few clouds
293,Savonlinna,FI,61.8699,28.88,39.2,93,90,6.91,overcast clouds
