City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
555,Sabha,LY,72.93,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
556,Urubicha,BO,65.98,overcast clouds,-15.3833,-62.95,
560,Tsiroanomandidy,MG,65.84,overcast clouds,-18.7667,46.0333,
561,Porto Real,BR,68.14,broken clouds,-22.4197,-44.2903,Hotel Porto Real
563,Hobyo,SO,83.66,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
564,Kuching,MY,77.0,few clouds,1.55,110.3333,The Ranee Boutique Suites
566,Madras,IN,82.4,scattered clouds,13.0878,80.2785,City home
567,Sechura,PE,78.62,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
568,Biak,ID,75.2,overcast clouds,-0.9131,122.8766,Penginapan Kim
569,Ratnagiri,IN,80.49,few clouds,16.9833,73.3,Hotel Landmark
570,Bukama,CD,67.84,overcast clouds,-9.2,25.85,
571,Ko Samui,TH,83.08,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
574,Lodwar,KE,83.43,light rain,3.1191,35.5973,Solmar Gracious Hotel
575,Santa Cruz De Tenerife,ES,66.0,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
580,Lorengau,PG,81.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
581,The Valley,AI,80.6,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
582,Kyabe,TD,79.77,overcast clouds,9.4515,18.9449,
583,Nosy Varika,MG,71.35,light rain,-20.5833,48.5333,Hotel Volazara
584,De Aar,ZA,67.77,overcast clouds,-30.6497,24.0123,Stoneburgh B&B
587,Grand-Lahou,CI,78.84,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
590,Praia,CV,71.6,broken clouds,14.9215,-23.5087,LT Aparthotel
594,Lalmohan,BD,81.34,clear sky,22.3384,90.7419,Sundorbon courier service
597,Vanimo,PG,76.93,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
601,Nushki,PK,76.21,clear sky,29.5542,66.0215,Jahangir Hotel Noshki
602,Sao Geraldo Do Araguaia,BR,76.06,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
606,Chokwe,MZ,67.03,clear sky,-24.5333,32.9833,Complexo Sonho Real
610,Amapa,BR,70.41,moderate rain,1.0,-52.0,
612,Alta Floresta,BR,74.39,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
616,Nishihara,JP,68.0,scattered clouds,26.1842,127.7558,Minshuku Agaihama
617,Sao Jose Da Coroa Grande,BR,78.24,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
618,Nautla,MX,83.3,scattered clouds,20.2167,-96.7833,Casa Blanca
619,Finschhafen,PG,78.4,light rain,-6.6024,147.8681,Cossam Guest House
630,Jalingo,NG,81.07,broken clouds,8.8833,11.3667,Debright Motel
632,Machinga,MW,65.79,broken clouds,-15.1685,35.3,
633,Hihya,EG,66.2,clear sky,30.6713,31.588,مضيفة المركز
634,Lashio,MM,70.16,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
635,Tutoia,BR,78.51,broken clouds,-2.7619,-42.2744,Pousada Guará's
636,San Pedro,PH,81.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
638,Bida,NG,75.87,moderate rain,9.0833,6.0167,Royal Suite
643,Bolobo,CD,76.37,broken clouds,-2.1667,16.2333,Hotel de Stephen
646,Salimpur,IN,78.37,clear sky,28.128,76.2766,जाजम Royal Family Rao shab
647,Maryborough,AU,66.0,clear sky,-25.5333,152.7,Blue Shades Motel
650,Curico,CL,68.0,clear sky,-34.9833,-71.2333,Hotel Raices
651,Soroti,UG,65.43,moderate rain,1.7146,33.6111,Marcllay Hotel - Soroti
652,Gat,IL,73.0,clear sky,31.61,34.7642,OlusHome
653,Kabugao,PH,69.53,broken clouds,18.0217,121.1842,ACLC-BOYS DORMITORY
656,Paita,PE,73.04,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
658,Saa,CM,70.93,light rain,4.3667,11.45,
663,Dhangadhi,NP,75.31,clear sky,28.7079,80.5961,Hotel Devotee
665,Pemba,MZ,75.2,broken clouds,-12.974,40.5178,Guesthouse Samotina
667,Cururupu,BR,75.49,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
669,Saveh,IR,73.06,overcast clouds,35.0213,50.3566,مجید کریمی
671,Sarangani,PH,82.74,broken clouds,5.4033,125.4636,Ballistic Islet
674,Ugoofaaru,MV,82.9,clear sky,5.6667,73.0,Ungoofaaru Inn
675,Lubao,PH,75.2,broken clouds,14.9167,120.55,Hacienda Gracia
677,Conchas,BR,70.29,overcast clouds,-23.0153,-48.0106,Pousada Villa Harmonia
678,Katherine,AU,73.4,broken clouds,-14.4667,132.2667,Pine Tree Motel
